Title,Aired,Original Network,Score,Watch Platforms,Year_Simple,Release_Year,Score_Cleaned,Score_Ratings,Score_User_Base
Ohlala School Season 2,"Jan 10, 2014 - May 9, 2014",Tooniverse,6.8 (scored by 6 users),"TVING, Tooniverse",2014,2014,6.8 (scored by 6 users),6.8,6
Don't Confess Next to a Corpse,"May 18, 2025 - Jun 1, 2025",,6.4 (scored by 52 users),,2025,2025,6.4 (scored by 52 users),6.4,52
Want a Taste?,"Nov 12, 2019 - May 1, 2020",SBS,6.9 (scored by 186 users),,2020,2020,6.9 (scored by 186 users),6.9,186
Mysterious Nurse,"Dec 21, 2018",SBS,6.7 (scored by 75 users),"Prime Video, Kocowa",2018,2018,6.7 (scored by 75 users),6.7,75
I:LOVE:DM,"May 12, 2021 - Jul 21, 2021",vLive,6.8 (scored by 151 users),,2021,2021,6.8 (scored by 151 users),6.8,151
Mumul Zzumul,"Sep 29, 2021 - Jan 12, 2022",Channel A,6.9 (scored by 8 users),,2022,2022,6.9 (scored by 8 users),6.9,8
City of the Sun (2015),"Jan 30, 2015 - Apr 7, 2015",MBC Dramanet,6.3 (scored by 13 users),,2015,2015,6.3 (scored by 13 users),6.3,13
Girl’s War,"Mar 27, 2017",Naver TV Cast,6.8 (scored by 85 users),Viki,2017,2017,6.8 (scored by 85 users),6.8,85
Hyunhaetan Marriage War,"Feb 27, 2010 - Feb 28, 2010",MBC,6.7 (scored by 183 users),,2010,2010,6.7 (scored by 183 users),6.7,183
Ladies of Storm,"Nov 3, 2014 - May 15, 2015",MBC,6.6 (scored by 79 users),,2015,2015,6.6 (scored by 79 users),6.6,79
Bubble Up,"Apr 4, 2022 - Apr 5, 2022",,6.8 (scored by 141 users),Viki,2022,2022,6.8 (scored by 141 users),6.8,141
Hearts and Hari,"Jan 17, 2020 - Mar 21, 2020",Tooniverse,6.5 (scored by 54 users),Tooniverse,2020,2020,6.5 (scored by 54 users),6.5,54
Good for You,"May 6, 2013 - Oct 4, 2013",MBC,6.5 (scored by 15 users),,2013,2013,6.5 (scored by 15 users),6.5,15
Why Didn't You Get Married?,"Apr 28, 2012 - Aug 3, 2012",E-Channel,6.2 (scored by 9 users),Viki,2012,2012,6.2 (scored by 9 users),6.2,9
Starting Point of Dating,"Jun 11, 2021 - Jul 23, 2021",,6.8 (scored by 126 users),,2021,2021,6.8 (scored by 126 users),6.8,126
Hail (2013),"Jul 7, 2013 - Jul 14, 2013",MBN,6.1 (scored by 3 users),,2013,2013,6.1 (scored by 3 users),6.1,3
Gang Girl Goes to Boys High School,"Nov 7, 2024",Vigloo,7.3 (scored by 71 users),,2024,2024,7.3 (scored by 71 users),7.3,71
A+ Romance,"Feb 25, 2025 - Mar 10, 2025",,6.7 (scored by 27 users),,2025,2025,6.7 (scored by 27 users),6.7,27
Two Mothers (2014),"Jun 3, 2014 - Nov 7, 2014",KBS2,7.0 (scored by 206 users),"KBS World, Viki, Kocowa",2014,2014,7.0 (scored by 206 users),7.0,206
All the Love in the World Season 2,"Aug 30, 2017 - 2017",Naver TV Cast,9.0 (scored by 5 users),,2017,2017,9.0 (scored by 5 users),9.0,5
All the Love in the World Season 3,"Aug 30, 2017",Naver TV Cast,8.6 (scored by 4 users),,2017,2017,8.6 (scored by 4 users),8.6,4
The Birth of a Nation,"Nov 1, 2021",,8.6 (scored by 4 users),,2021,2021,8.6 (scored by 4 users),8.6,4
SM Culture Universe: aespa,"May 14, 2021 - Feb 23, 2023",,8.4 (scored by 125 users),,2023,2023,8.4 (scored by 125 users),8.4,125
Crash! Insignificant Reunion,"Apr 17, 2020 - May 8, 2020",vLive,8.0 (scored by 109 users),,2020,2020,8.0 (scored by 109 users),8.0,109
Human Theatre 2010,"Jan 21, 2010 - Feb 25, 2010",MBC every1,8.1 (scored by 7 users),,2010,2010,8.1 (scored by 7 users),8.1,7
Problematic Detective Agency,"May 27, 2022 - Jul 1, 2022",,8.1 (scored by 4 users),,2022,2022,8.1 (scored by 4 users),8.1,4
The Secret of the Grand Mansion: The Missing Girls,"Mar 29, 2021 - Apr 28, 2021",,8.0 (scored by 43 users),,2021,2021,8.0 (scored by 43 users),8.0,43
Typically Women,"Apr 30, 2010 - Jul 23, 2010",E-Channel,6.6 (scored by 12 users),Viki,2010,2010,6.6 (scored by 12 users),6.6,12
Better Things,"Aug 7, 2023 - Aug 11, 2023",,7.9 (scored by 99 users),,2023,2023,7.9 (scored by 99 users),7.9,99
Blue Tower Returns,"Nov 27, 2013 - Feb 26, 2014",tvN,7.9 (scored by 5 users),,2014,2014,7.9 (scored by 5 users),7.9,5
Between Us (2018),"Nov 15, 2018 - Dec 20, 2018",,8.1 (scored by 10 users),,2018,2018,8.1 (scored by 10 users),8.1,10
KBS Drama Special 2023,"Oct 14, 2023 - Dec 16, 2023",KBS2,7.9 (scored by 49 users),"Viki, Prime Video, Wavve, Kocowa",2023,2023,7.9 (scored by 49 users),7.9,49
"Oh, Yeojeong","May 9, 2018 - Jun 1, 2018",Naver TV Cast,8.0 (scored by 4 users),,2018,2018,8.0 (scored by 4 users),8.0,4
My R-Rated First Love,"Nov 29, 2024",Alwayz,7.7 (scored by 16 users),,2024,2024,7.7 (scored by 16 users),7.7,16
My Daughter's Just Like Me,"Oct 20, 2019 - Nov 6, 2019",MBC,7.9 (scored by 7 users),,2019,2019,7.9 (scored by 7 users),7.9,7
Byul Soon Geom Season 3,"Sep 4, 2010 - Nov 13, 2010",MBC Dramanet,7.8 (scored by 20 users),,2010,2010,7.8 (scored by 20 users),7.8,20
Three Kingdom Wars - Imjin War 1592,"Sep 3, 2016 - Sep 23, 2016",KBS1,7.8 (scored by 19 users),,2016,2016,7.8 (scored by 19 users),7.8,19
Smashing on Your Back,"Dec 4, 2017 - Mar 1, 2018",TV Chosun,7.9 (scored by 9 users),,2018,2018,7.9 (scored by 9 users),7.9,9
Oh My God Season 2,"Feb 6, 2012 - Aug 14, 2012",SBS Plus,7.8 (scored by 3 users),,2012,2012,7.8 (scored by 3 users),7.8,3
I Want to Live an Easy Life,"Dec 17, 2021",SBS,7.8 (scored by 3 users),TVING,2021,2021,7.8 (scored by 3 users),7.8,3
Everybody Say Kungdari,"Jul 15, 2019 - Nov 29, 2019",MBC,6.6 (scored by 68 users),,2019,2019,6.6 (scored by 68 users),6.6,68
Our D-Day,"Jan 26, 2023 - Feb 10, 2023",,7.8 (scored by 102 users),,2023,2023,7.8 (scored by 102 users),7.8,102
Bad Guy's Guide to Love,"Dec 24, 2024",,7.7 (scored by 20 users),,2024,2024,7.7 (scored by 20 users),7.7,20
Stray Directors,"Oct 1, 2018 - Oct 4, 2018","SBS, vLive",7.8 (scored by 56 users),,2018,2018,7.8 (scored by 56 users),7.8,56
What Summer Loves,"Sep 20, 2024 - Oct 25, 2024",Alwayz,7.5 (scored by 15 users),,2024,2024,7.5 (scored by 15 users),7.5,15
Welcome to My Lab Season 2,"Aug 2, 2016 - Oct 11, 2016",Tooniverse,7.7 (scored by 13 users),Tooniverse,2016,2016,7.7 (scored by 13 users),7.7,13
Raising Heirs Who Became Hikikomori,"Oct 25, 2024",Alwayz,7.8 (scored by 4 users),,2024,2024,7.8 (scored by 4 users),7.8,4
Late Night Hospital,"Oct 15, 2011 - Dec 17, 2011",MBC,7.7 (scored by 20 users),,2011,2011,7.7 (scored by 20 users),7.7,20
My Love: Six Stories of True Love,"Apr 13, 2021",Netflix,7.7 (scored by 22 users),Netflix,2021,2021,7.7 (scored by 22 users),7.7,22
Oh My God,"May 2, 2011 - Jan 30, 2012",SBS Plus,7.7 (scored by 5 users),,2012,2012,7.7 (scored by 5 users),7.7,5
"Oh, Yeojeong: Summer","Sep 10, 2018 - Sep 18, 2018",Naver TV Cast,7.7 (scored by 4 users),,2018,2018,7.7 (scored by 4 users),7.7,4
Oh My God! Tip Series 2,"May 20, 2016 - Jun 10, 2016",Naver TV Cast,7.7 (scored by 20 users),,2016,2016,7.7 (scored by 20 users),7.7,20
The Driver (2022),"Feb 2, 2022",MBN,7.7 (scored by 4 users),,2022,2022,7.7 (scored by 4 users),7.7,4
"Mi Na, Did You Change Your Profile Picture Again?","Feb 7, 2024",Watcha,7.7 (scored by 7 users),,2024,2024,7.7 (scored by 7 users),7.7,7
Forever Young 2,"Nov 3, 2016 - Mar 22, 2017",,7.6 (scored by 34 users),,2017,2017,7.6 (scored by 34 users),7.6,34
Welcome to My Lab,"Dec 22, 2015 - Feb 9, 2016",Tooniverse,7.6 (scored by 28 users),Tooniverse,2016,2016,7.6 (scored by 28 users),7.6,28
Midnight Thriller,"Dec 9, 2021",Genie TV,7.6 (scored by 27 users),,2021,2021,7.6 (scored by 27 users),7.6,27
SPUNK,"Oct 8, 2019 - Nov 12, 2019",Naver TV Cast,7.7 (scored by 9 users),,2019,2019,7.7 (scored by 9 users),7.7,9
A Film About Grooming,"Sep 25, 2022 - Oct 9, 2022",,7.7 (scored by 5 users),,2022,2022,7.7 (scored by 5 users),7.7,5
Webtoon Hero - Tundra Show,"Jul 27, 2015 - Oct 19, 2015",MBC every1,7.6 (scored by 56 users),,2015,2015,7.6 (scored by 56 users),7.6,56
Nineteen (2019),"Mar 21, 2019 - May 9, 2019",Naver TV Cast,7.6 (scored by 64 users),,2019,2019,7.6 (scored by 64 users),7.6,64
Reckless Family Season 3,"Jul 30, 2013 - Feb 25, 2014",MBC,7.3 (scored by 8 users),,2014,2014,7.3 (scored by 8 users),7.3,8
Moonlight Sonata (2017),"Jan 21, 2017 - Feb 5, 2017",Naver TV Cast,7.6 (scored by 7 users),,2017,2017,7.6 (scored by 7 users),7.6,7
My Friend’s Graduation Ceremony,"Jun 10, 2024",,7.6 (scored by 47 users),Kocowa,2024,2024,7.6 (scored by 47 users),7.6,47
Fantasy Timing,"Sep 6, 2019 - Jan 30, 2020",,7.6 (scored by 3 users),,2020,2020,7.6 (scored by 3 users),7.6,3
Mukeo Bar,"Mar 20, 2023 - Apr 17, 2023",,7.6 (scored by 3 users),,2023,2023,7.6 (scored by 3 users),7.6,3
Fork You Boss,"Jul 26, 2017 - Sep 10, 2017","jTBC, Naver TV Cast",7.5 (scored by 29 users),"Lululala Story Lab, Studio LuluLala",2017,2017,7.5 (scored by 29 users),7.5,29
"Don't Swallow It Today, Too","Nov 20, 2021",,7.6 (scored by 7 users),TVING,2021,2021,7.6 (scored by 7 users),7.6,7
"No, Thank You Season 2","Jan 8, 2022 - Mar 26, 2022",Daum Kakao TV,7.5 (scored by 135 users),Viki,2022,2022,7.5 (scored by 135 users),7.5,135
Legend Hero,"Mar 2, 2016 - Aug 18, 2016",,7.5 (scored by 48 users),,2016,2016,7.5 (scored by 48 users),7.5,48
Oh My God! Tip Series 3,"Jun 24, 2016 - Jul 15, 2016",Naver TV Cast,7.5 (scored by 17 users),,2016,2016,7.5 (scored by 17 users),7.5,17
Forever Young (2014),"Dec 17, 2014 - Apr 23, 2015",,7.5 (scored by 73 users),,2015,2015,7.5 (scored by 73 users),7.5,73
We're Not Trash,"Dec 12, 2022 - Jan 4, 2023",,7.5 (scored by 154 users),KOK TV,2023,2023,7.5 (scored by 154 users),7.5,154
My Mother Is a Daughter-In-Law,"Jun 22, 2015 - Dec 31, 2015",SBS,7.5 (scored by 43 users),,2015,2015,7.5 (scored by 43 users),7.5,43
Camellia (2019),"Apr 9, 2019 - May 7, 2019",,7.6 (scored by 10 users),,2019,2019,7.6 (scored by 10 users),7.6,10
Can You Deliver Time?,"Nov 20, 2020 - Jan 8, 2021",,7.3 (scored by 167 users),배티비 (BAETV),2021,2021,7.3 (scored by 167 users),7.3,167
HOW-TO,"Feb 21, 2017 - Apr 27, 2017",,7.5 (scored by 12 users),,2017,2017,7.5 (scored by 12 users),7.5,12
Love Is Jungle,"Oct 19, 2018 - Dec 14, 2018",Oksusu,7.6 (scored by 6 users),,2018,2018,7.6 (scored by 6 users),7.6,6
Dream Maker (2022),"Jul 4, 2022",,7.5 (scored by 14 users),TVING,2022,2022,7.5 (scored by 14 users),7.5,14
Bully and Nerd,"Feb 28, 2023 - ?",,7.4 (scored by 31 users),, - ?,2023,7.4 (scored by 31 users),7.4,31
Political Fever,"Nov 12, 2021",Wavve,7.5 (scored by 126 users),"Viki, Wavve",2021,2021,7.5 (scored by 126 users),7.5,126
KBS Drama Special 2024,"Nov 5, 2024 - Dec 10, 2024",KBS2,7.5 (scored by 60 users),"Viki, Kocowa",2024,2024,7.5 (scored by 60 users),7.5,60
Working Mom Parenting Daddy,"May 9, 2016 - Nov 11, 2016",MBC,7.5 (scored by 83 users),,2016,2016,7.5 (scored by 83 users),7.5,83
Big Forest,"Sep 7, 2018 - Nov 9, 2018",tvN,7.5 (scored by 90 users),"Apple TV, Tubi",2018,2018,7.5 (scored by 90 users),7.5,90
My Ex Diary,"May 3, 2018 - May 26, 2018",,7.4 (scored by 24 users),,2018,2018,7.4 (scored by 24 users),7.4,24
Half-Fifty,"Dec 23, 2020",,7.5 (scored by 15 users),,2020,2020,7.5 (scored by 15 users),7.5,15
Why Opposites Attract Season 2,"May 4, 2023 - Jun 11, 2023",,7.5 (scored by 5 users),,2023,2023,7.5 (scored by 5 users),7.5,5
I've Got My Eye on You,"Dec 26, 2015",SBS,7.5 (scored by 8 users),SBS VOD,2015,2015,7.5 (scored by 8 users),7.5,8
Dear X (2024),"Nov 12, 2024 - Nov 16, 2024",,7.3 (scored by 10 users),,2024,2024,7.3 (scored by 10 users),7.3,10
Family Secrets,"Oct 27, 2014 - Apr 30, 2015",tvN,7.5 (scored by 21 users),,2015,2015,7.5 (scored by 21 users),7.5,21
Hip Hop King: Nassna Street,"Aug 9, 2019 - Sep 13, 2019",SBS,7.4 (scored by 164 users),"Apple TV, AsianCrush, Tubi",2019,2019,7.4 (scored by 164 users),7.4,164
Marrying My Sister's Husband,"Dec 1, 2024",,7.2 (scored by 8 users),,2024,2024,7.2 (scored by 8 users),7.2,8
The Sensible Life of Director Shin,"Jun 26, 2017 - Jul 17, 2017",,7.4 (scored by 22 users),"AsianCrush, 72sec TV",2017,2017,7.4 (scored by 22 users),7.4,22
Chicken Game,"Jan 4, 2025",Shortime,7.5 (scored by 3 users),,2025,2025,7.5 (scored by 3 users),7.5,3
Only You (2022),"Nov 28, 2022 - Nov 30, 2022",,7.4 (scored by 107 users),KOK TV,2022,2022,7.4 (scored by 107 users),7.4,107
Welcome to the Lesbian Bar,"Mar 18, 2023 - Mar 22, 2023",,7.4 (scored by 146 users),,2023,2023,7.4 (scored by 146 users),7.4,146
Just Too Bored,"Jan 16, 2018 - Mar 8, 2018","Naver TV Cast, vLive",7.4 (scored by 101 users),,2018,2018,7.4 (scored by 101 users),7.4,101
Somehow Family,"Mar 21, 2021 - Jun 6, 2021",TV Chosun,7.5 (scored by 136 users),Tubi,2021,2021,7.5 (scored by 136 users),7.5,136
Indomitable Daughters-in-Law,"Jun 6, 2011 - Nov 18, 2011",MBC,7.4 (scored by 39 users),,2011,2011,7.4 (scored by 39 users),7.4,39
Sometoon 2021,"May 10, 2021",,7.4 (scored by 63 users),,2021,2021,7.4 (scored by 63 users),7.4,63
CNBLUETORY,"Feb 10, 2010 - Mar 10, 2010",Mnet,7.4 (scored by 22 users),,2010,2010,7.4 (scored by 22 users),7.4,22
A DeadbEAT's Meal,"Dec 10, 2021 - Jan 14, 2022","Naver TV Cast, TVING",7.4 (scored by 70 users),TVING,2022,2022,7.4 (scored by 70 users),7.4,70
Lights and Shadows,"Nov 28, 2011 - Jul 3, 2012",MBC,7.4 (scored by 51 users),"Viki, Kocowa",2012,2012,7.4 (scored by 51 users),7.4,51
The Ordinary Life of Ms. 'O'! Season 3,"Apr 4, 2017 - Apr 27, 2017",,7.4 (scored by 30 users),72sec TV,2017,2017,7.4 (scored by 30 users),7.4,30
The Jingbirok: A Memoir of Imjin War,"Feb 14, 2015 - Aug 2, 2015",KBS1,7.4 (scored by 80 users),,2015,2015,7.4 (scored by 80 users),7.4,80
To Me to You,"Apr 19, 2021",KBS1,7.4 (scored by 73 users),,2021,2021,7.4 (scored by 73 users),7.4,73
Return of Fortunate Bok,"May 15, 2017 - Nov 24, 2017",MBC,7.5 (scored by 32 users),,2017,2017,7.5 (scored by 32 users),7.5,32
Instant Romance,"Oct 24, 2018 - Nov 23, 2018",vLive,7.4 (scored by 20 users),,2018,2018,7.4 (scored by 20 users),7.4,20
I Hate Going to Work,"Apr 9, 2019 - Jul 2, 2019",KBS2,7.4 (scored by 90 users),,2019,2019,7.4 (scored by 90 users),7.4,90
Go! Mrs. Go!,"Dec 17, 2011 - Apr 15, 2012",TV Chosun,7.4 (scored by 103 users),Tubi,2012,2012,7.4 (scored by 103 users),7.4,103
Noise (2019),"Mar 21, 2019 - May 23, 2019",,7.3 (scored by 15 users),,2019,2019,7.3 (scored by 15 users),7.3,15
My Daughter the Flower,"Nov 14, 2011 - May 18, 2012",SBS,7.3 (scored by 158 users),SBS VOD,2012,2012,7.3 (scored by 158 users),7.3,158
Beginning,"Nov 16, 2021 - Mar 11, 2022",,7.4 (scored by 81 users),,2022,2022,7.4 (scored by 81 users),7.4,81
Seoul Blues: Uncut Version,"Aug 17, 2024 - Sep 18, 2024",,7.1 (scored by 181 users),,2024,2024,7.1 (scored by 181 users),7.1,181
Late Blossom (2012),"Apr 16, 2012 - Jun 5, 2012",SBS Plus,7.3 (scored by 41 users),,2012,2012,7.3 (scored by 41 users),7.3,41
Oh My God! Tip,"Apr 11, 2016 - May 6, 2016",Naver TV Cast,7.3 (scored by 58 users),,2016,2016,7.3 (scored by 58 users),7.3,58
Fork You Boss Season 2,"Mar 27, 2018 - Jun 14, 2018",jTBC,7.3 (scored by 14 users),"Lululala Story Lab, Studio LuluLala",2018,2018,7.3 (scored by 14 users),7.3,14
I Live in Cheongdam-dong,"Dec 5, 2011 - Aug 3, 2012",jTBC,7.3 (scored by 58 users),,2012,2012,7.3 (scored by 58 users),7.3,58
Mother and Mom,"Mar 3, 2025 - Mar 25, 2025",ENA,7.2 (scored by 191 users),,2025,2025,7.2 (scored by 191 users),7.2,191
The Birth of a Married Woman,"Dec 9, 2016 - Feb 10, 2017",SBS Plus,7.3 (scored by 79 users),"Viki, Kocowa",2017,2017,7.3 (scored by 79 users),7.3,79
On the Campus,"Mar 23, 2019 - Apr 20, 2019",,7.3 (scored by 29 users),,2019,2019,7.3 (scored by 29 users),7.3,29
Here Comes Love,"Jun 20, 2016 - Dec 9, 2016",SBS,7.3 (scored by 129 users),,2016,2016,7.3 (scored by 129 users),7.3,129
I Believe in Love,"Jan 1, 2011 - Jul 31, 2011",KBS2,7.3 (scored by 126 users),,2011,2011,7.3 (scored by 126 users),7.3,126
Youth Again,"Jun 3, 2021 - Jun 25, 2021",tvN,7.3 (scored by 116 users),tvN D STORY,2021,2021,7.3 (scored by 116 users),7.3,116
Mom (2015),"Sep 5, 2015 - Feb 21, 2016",MBC,7.3 (scored by 112 users),,2016,2016,7.3 (scored by 112 users),7.3,112
The Ordinary Life of Ms. 'O'! Season 2,"May 11, 2016 - Jun 9, 2016",,7.3 (scored by 38 users),72sec TV,2016,2016,7.3 (scored by 38 users),7.3,38
Do You Want to Eat?,"Jan 30, 2022 - Mar 6, 2022",MBC,7.4 (scored by 4 users),,2022,2022,7.4 (scored by 4 users),7.4,4
Desperate Mrs. Seonju,"Nov 18, 2024 - Jun 2, 2025",MBC,7.3 (scored by 190 users),"Viki, Wavve, Kocowa",2025,2025,7.3 (scored by 190 users),7.3,190
"Freedom Fighter, Lee Hoe Young","Aug 29, 2010 - Sep 12, 2010",KBS1,7.3 (scored by 34 users),,2010,2010,7.3 (scored by 34 users),7.3,34
TV Novel: Abiding Love Dandelion,"Aug 25, 2014 - Feb 27, 2015",KBS2,7.3 (scored by 26 users),,2015,2015,7.3 (scored by 26 users),7.3,26
Sweet Palpitations,"May 2, 2011 - Nov 4, 2011",KBS2,7.3 (scored by 116 users),,2011,2011,7.3 (scored by 116 users),7.3,116
What a Wonderful World (2019),"Mar 26, 2019 - Apr 18, 2019",,7.4 (scored by 7 users),,2019,2019,7.4 (scored by 7 users),7.4,7
Everyday Loves,"Apr 28, 2017 - May 7, 2017",,7.3 (scored by 51 users),,2017,2017,7.3 (scored by 51 users),7.3,51
Man in the Shower,"Sep 22, 2017 - Oct 12, 2017",,7.3 (scored by 70 users),"AsianCrush, Tubi, 72sec TV",2017,2017,7.3 (scored by 70 users),7.3,70
The Secret Romance of a Matchmaking Agency Manager,"Dec 13, 2024",Alwayz,7.2 (scored by 8 users),,2024,2024,7.2 (scored by 8 users),7.2,8
Korean Peninsula,"Feb 6, 2012 - Apr 3, 2012",TV Chosun,7.3 (scored by 143 users),,2012,2012,7.3 (scored by 143 users),7.3,143
Daring Women,"Mar 2, 2010 - Jul 30, 2010",SBS,7.3 (scored by 186 users),,2010,2010,7.3 (scored by 186 users),7.3,186
TV Novel: The Stars are Shining,"Aug 31, 2015 - Feb 26, 2016",KBS2,7.3 (scored by 83 users),,2016,2016,7.3 (scored by 83 users),7.3,83
The Peak,"Aug 15, 2011",MBC,7.3 (scored by 26 users),Kocowa,2011,2011,7.3 (scored by 26 users),7.3,26
BReal Bro&Sis,"Dec 15, 2022 - Feb 5, 2023",,7.2 (scored by 15 users),,2023,2023,7.2 (scored by 15 users),7.2,15
Fall In Mulberry,"Nov 20, 2019 - Dec 8, 2019",Genie TV,7.3 (scored by 9 users),,2019,2019,7.3 (scored by 9 users),7.3,9
"Nineteen, Logout","Jan 31, 2021 - Mar 14, 2021",,7.3 (scored by 43 users),,2021,2021,7.3 (scored by 43 users),7.3,43
Cheongchunhyang Jeon,"Dec 20, 2021",,7.3 (scored by 47 users),,2021,2021,7.3 (scored by 47 users),7.3,47
Virtual On Air,"Jan 15, 2025",Shortime,7.4 (scored by 3 users),,2025,2025,7.4 (scored by 3 users),7.4,3
Secret Crushes: Special Edition,"Aug 11, 2017",Naver TV Cast,7.3 (scored by 31 users),KOK TV,2017,2017,7.3 (scored by 31 users),7.3,31
Horror Mailbox,"Aug 27, 2021",,7.3 (scored by 10 users),,2021,2021,7.3 (scored by 10 users),7.3,10
Everywhere and Nowhere,"Oct 6, 2020 - Oct 8, 2020",,7.3 (scored by 79 users),,2020,2020,7.3 (scored by 79 users),7.3,79
Low Life (2025),"Jul 16, 2025 - Aug 13, 2025",Disney+,7.1 (scored by 198 users),"Disney+ Hotstar, Disney+, Hulu",2025,2025,7.1 (scored by 198 users),7.1,198
I Need Standards,"Dec 26, 2018 - Jan 9, 2019",Naver TV Cast,7.3 (scored by 17 users),,2019,2019,7.3 (scored by 17 users),7.3,17
Hong Ik Super,"Jul 18, 2017 - Aug 3, 2017",Naver TV Cast,7.3 (scored by 42 users),"Apple TV, Viki, Kocowa",2017,2017,7.3 (scored by 42 users),7.3,42
Friend and Kiss,"Nov 25, 2021",,7.3 (scored by 148 users),CheezeFilm,2021,2021,7.3 (scored by 148 users),7.3,148
Sweet and Salty Office (2018),"Sep 28, 2018 - Nov 30, 2018",MBC every1,7.2 (scored by 54 users),,2018,2018,7.2 (scored by 54 users),7.2,54
2021 Summer Drama Collage: Monster Mansion,"Jul 30, 2021 - Aug 19, 2021",Seezn,7.2 (scored by 144 users),,2021,2021,7.2 (scored by 144 users),7.2,144
Happy Ending (2012),"Apr 23, 2012 - Jul 16, 2012",jTBC,7.2 (scored by 142 users),,2012,2012,7.2 (scored by 142 users),7.2,142
A Ticket to India,"May 31, 2020 - Jul 5, 2020",,7.2 (scored by 150 users),,2020,2020,7.2 (scored by 150 users),7.2,150
Standby,"Apr 9, 2012 - Oct 5, 2012",MBC,7.2 (scored by 161 users),,2012,2012,7.2 (scored by 161 users),7.2,161
Strange School Tales,"Sep 12, 2020 - Sep 27, 2020",TV Chosun,7.2 (scored by 17 users),Kakao TV,2020,2020,7.2 (scored by 17 users),7.2,17
Doo Teob's Pretty Easy School Life,"Aug 9, 2018 - Sep 1, 2018",,7.3 (scored by 10 users),"Lululala Story Lab, Studio LuluLala",2018,2018,7.3 (scored by 10 users),7.3,10
Just You (2011),"Nov 7, 2011 - May 4, 2012",KBS1,7.2 (scored by 125 users),,2012,2012,7.2 (scored by 125 users),7.2,125
Oh My Captain,"Jul 20, 2018",Naver TV Cast,7.2 (scored by 16 users),,2018,2018,7.2 (scored by 16 users),7.2,16
"380,000 km Between You and Me","Jan 4, 2019 - Mar 1, 2019",vLive,7.3 (scored by 10 users),,2019,2019,7.3 (scored by 10 users),7.3,10
Re-Feel: If Only,"Jun 30, 2021 - Aug 4, 2021",,7.3 (scored by 65 users),,2021,2021,7.3 (scored by 65 users),7.3,65
Virtual Excitement,"Mar 11, 2016",,7.2 (scored by 90 users),,2016,2016,7.2 (scored by 90 users),7.2,90
Irish Uppercut,"Apr 24, 2017 - May 15, 2017",Naver TV Cast,7.2 (scored by 129 users),"Viki, AsianCrush",2017,2017,7.2 (scored by 129 users),7.2,129
"Not Alright, But It's Alright: Pilot","Nov 23, 2017 - Nov 25, 2017",,7.2 (scored by 86 users),,2017,2017,7.2 (scored by 86 users),7.2,86
Justice Team,"Dec 13, 2016 - Dec 16, 2016",Naver TV Cast,7.3 (scored by 30 users),,2016,2016,7.3 (scored by 30 users),7.3,30
Arim Inn the Forest,"Dec 18, 2018 - Jan 22, 2019",,7.2 (scored by 27 users),"Viki, Kocowa",2019,2019,7.2 (scored by 27 users),7.2,27
Soul Driver,"Mar 30, 2018 - Apr 3, 2018",,7.2 (scored by 19 users),"Viki, Kocowa",2018,2018,7.2 (scored by 19 users),7.2,19
Making Your Husband Mine,"Dec 3, 2024",,7.5 (scored by 26 users),,2024,2024,7.5 (scored by 26 users),7.5,26
Farming Academy Season 2,"Dec 16, 2019 - Jan 6, 2020",SBS,7.2 (scored by 95 users),Kocowa,2020,2020,7.2 (scored by 95 users),7.2,95
To the X Who Hated Me: Yoon Oh X Jane,"May 22, 2024 - May 29, 2024",,7.2 (scored by 152 users),,2024,2024,7.2 (scored by 152 users),7.2,152
Time of Miracle: Loss Time,"Feb 10, 2016 - Feb 17, 2016",KBS1,7.3 (scored by 6 users),,2016,2016,7.3 (scored by 6 users),7.3,6
Crush on Zombie,"Oct 10, 2024",Vigloo,8.1 (scored by 9 users),,2024,2024,8.1 (scored by 9 users),8.1,9
Finally Got Romanced,"Sep 20, 2024",Shortime,7.4 (scored by 4 users),,2024,2024,7.4 (scored by 4 users),7.4,4
"Now, Parliament Is 36.5","Oct 4, 2022 - Oct 22, 2022",,7.0 (scored by 2 users),,2022,2022,7.0 (scored by 2 users),7.0,2
Mr. Kang,"Jun 10, 2022 - Jun 26, 2022",Seezn,7.0 (scored by 2 users),,2022,2022,7.0 (scored by 2 users),7.0,2
Artificial Intelligence Hamlet,"Dec 7, 2021 - Jan 4, 2022",,4.0 (scored by 1 user),,2022,2022,4.0 (scored by 1 user),4.0,1
My 100th Election,"Dec 7, 2021 - Dec 8, 2021",,8.5 (scored by 2 users),,2021,2021,8.5 (scored by 2 users),8.5,2
Armored Saurus,"Nov 4, 2021 - Apr 28, 2022",,9.0 (scored by 2 users),Netflix,2022,2022,9.0 (scored by 2 users),9.0,2
Real Siblings,"Oct 9, 2021 - Oct 30, 2021",,7.0 (scored by 2 users),,2021,2021,7.0 (scored by 2 users),7.0,2
Meeting Plaza,"Jul 1, 2021 - Aug 19, 2021",,8.0 (scored by 3 users),,2021,2021,8.0 (scored by 3 users),8.0,3
I'm Not a Loser,"Jun 26, 2021 - Jul 28, 2021",,9.0 (scored by 2 users),,2021,2021,9.0 (scored by 2 users),9.0,2
Club Room B102,"Jan 18, 2021 - Feb 15, 2021",Naver TV Cast,6.0 (scored by 2 users),,2021,2021,6.0 (scored by 2 users),6.0,2
